title,runtime,des,date,genre,cast,director,vote,gross,rating
Immortals,110,"    Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",2011,"Action, Drama, Fantasy            ","Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff",Tarsem Singh,155578,$83.50M,6.0
Bridesmaids,125,"    Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",2011,"Comedy, Romance            ","Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews",Paul Feig,255676,$169.11M,6.8
Her,126,"    In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",2013,"Drama, Romance, Sci-Fi            ","Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara",Spike Jonze,493316,$25.57M,8.0
Hart of Dixie,60,"    New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find he has died and left half the practice to her in his will.",2015,"Comedy, Drama, Romance            ","Rachel Bilson, Jaime King, Cress Williams, Wilson Bethel",,42215,,7.7
About Time,123,"    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",2013,"Comedy, Drama, Fantasy            ","Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson",Richard Curtis,276715,$15.32M,7.8
Pitch Perfect,112,"    Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",2012,"Comedy, Music, Romance            ","Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp",Jason Moore,263327,$65.00M,7.2
"Crazy, Stupid, Love.",118,"    A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",2011,"Comedy, Drama, Romance            ","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone","Glenn Ficarra, John Requa",447322,$84.35M,7.4
A Discovery of Witches,60,"    Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.",2018,"Drama, Fantasy, Romance            ","Matthew Goode, Teresa Palmer, Valarie Pettiford, Malin Buska",,20957,,8.1
The Danish Girl,119,    A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,2015,"Biography, Drama, Romance            ","Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw",Tom Hooper,152485,$12.71M,7.1
Poldark,60,"    Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.",2015,"Drama, History, Romance            ","Aidan Turner, Eleanor Tomlinson, Jack Farthing, Beatie Edney",,22825,,8.3
Teen Wolf,41,    An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,2017,"Action, Drama, Fantasy            ","Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby",,118542,,7.6
