title,runtime,des,date,rating,genre
Moana,107,"    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016,7.6,"Animation, Adventure, Comedy            "
Tangled,100,"    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",2010,7.7,"Animation, Adventure, Comedy            "
The Ranch,30,    The son of a Colorado rancher returns home from a semi-pro football career to run the family business.,2016,7.5,"Short, Comedy, Drama            "
Deadpool 2,119,"    Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",2018,7.7,"Action, Adventure, Comedy            "
Descendants,112,    The teenage son of the king and queen of Auradon offers the trouble-making children of villains a chance to attend prep school in the kingdom.,2015,6.4,"Comedy, Family, Fantasy            "
Crazy Rich Asians,120,"    This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",2018,6.9,"Comedy, Drama, Romance            "
Jane the Virgin,60,"    A young, devout Catholic woman discovers that she was accidentally artificially inseminated.",2019,7.8,Comedy            
Death in Paradise,60,"    A British inspector is transferred to Saint-Marie's police department, but he hates the sun, sea and sand. The series follow his investigations into murders on the island. Later series see another British DI head the investigative team.",2011,7.8,"Comedy, Crime, Drama            "
Wild Rose,101,    A troubled young Glaswegian woman dreams of becoming a Nashville country star.,2018,7.2,"Comedy, Drama, Music            "
Z Nation,44,"    Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.",2018,6.7,"Action, Comedy, Drama            "
Don Jon,90,"    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",2013,6.5,"Comedy, Drama, Romance            "
Deadpool,108,"    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",2016,8.0,"Action, Adventure, Comedy            "
The Orville,44,    An exploratory ship from Earth faces intergalactic challenges 400 years in the future.,2017,8.0,"Adventure, Comedy, Drama            "
Cobra Kai,30,"    Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",2018,8.8,"Action, Comedy, Drama            "
Younger,22,"    After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old.",2015,7.8,"Comedy, Romance            "
