title,runtime,des,date,genre,cast,director,vote,gross,rating
Rocco,105,    A behind-the-scene account of the porn world and its stars as they've never been seen before - and the no-holds-barred portrait of a true giant.,2016,Documentary            ,"Rocco Siffredi, Anikka Albrite, Veronica Avluv, Eva Berger","Thierry Demaizière, Alban Teurlai",2678,,5.8
The Act of Killing,117,"    A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers.",2012,"Documentary, Biography, Crime            ","Anwar Congo, Herman Koto, Syamsul Arifin, Ibrahim Sinik","Joshua Oppenheimer, Anonymous, Christine Cynn",32354,$0.49M,8.2
Blue Planet II,364,"    David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",2018,Documentary            ,"David Attenborough, Peter Drost, Roger Munns, François Morel",,25854,,9.4
The Jinx: The Life and Deaths of Robert Durst,279,"    Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",2015,"Documentary, Crime            ","Robert Durst, Andrew Jarecki, Gary Napoli, Debra Kay Anderson",,35119,,8.7
Icarus,120,"    When Bryan sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller.",2017,"Documentary, Sport, Thriller            ","Thomas Bach, Scott Brandt, Don Catlin, Sebastian Coe",Bryan Fogel,32030,,7.9
Three Identical Strangers,96,"    In 1980 New York, three young men who were all adopted meet each other and find out they're triplets who were separated at birth. But their quest to find out why turns into a bizarre and sinister mystery.",2018,"Documentary, Biography, Drama            ","Robert Shafran, Michael Domnitz, Howard Schneider, Ellen Cervone",Tim Wardle,18709,$12.32M,7.7
The Dawn Wall,100,"    In an unbelievable story of perseverance, free climber Tommy Caldwell and climbing partner Kevin Jorgeson attempt to scale the impossible 3000ft Dawn Wall of El Capitan.",2017,"Documentary, Biography, Sport            ","John Branch, Tommy Caldwell, Kevin Jorgeson","Josh Lowell, Peter Mortimer",10017,$0.07M,8.1
Hot Girls Wanted: Turned On,46,"    Porn has gone mainstream; the question is, can we handle it? This exploration of the intersection of sex and technology is told through the stories of the people whose lives are defined by ...                See full summary »",2017,Documentary            ,"James Rhine, Lena Anderson, James Bartholet, Lily Cade",,1662,,6.7
The Keepers,436,    A seven-part docuseries about the unsolved murder of a nun and the horrific secrets and pain that linger nearly five decades after her death.,2017,"Documentary, Crime            ","Gemma Hoskins, Abbie Schaub, Virginia Anzengruber, Jean Hargadon Wehner",,14746,,8.1
Travel Man: 48 Hours in...,24,"    British comedian Richard Ayoade and a celebrity guest, usually from the comedy world, spend 48 hours in a popular city to discover the must see tourist attractions.",2015,"Documentary, Adventure, Comedy            ","Richard Ayoade, Joe Lycett, Greg Davies, Noel Fielding",,1337,,8.3
After Porn Ends 2,90,"    After Porn Ends 2 turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of its most current retirees, and juxtaposes their experiences in a life after porn.",2017,Documentary            ,"Lisa Ann, Georgina Spelvin, Darren James, Ginger Lynn",Bryce Wagoner,2221,,5.4
Obsession: Dark Desires,43,"    Obsessions form in all different kinds of ways. It could be a date, an interview, or even just a passing on the street. In this bone-chilling series they will show real life stories of obsession told by the victims.",2013,"Documentary, Crime, Drama            ","Stephanie Jones, Richard Banks, Stephanie Moore, Ian Porter",,301,,7.4
Lore,40,    Our collective nightmare mythologies are rooted in real-life horror stories.,2018,"Documentary, Horror            ","Aaron Mahnke, Steven Berkoff, Josh Bowman, Paula Malcomson",,4088,,6.7
Abducted in Plain Sight,91,"    The twisting, turning, stranger-than-fiction true story of the Brobergs, a naive, church-going Idaho family that fell under the spell of a sociopathic neighbor with designs on their twelve-year-old daughter.",2017,"Documentary, Crime            ","Jan Broberg, Bob Broberg, Mary Ann Broberg, Susan Broberg",Skye Borgman,11513,,6.8
Flint Town,45,"    Documentary following the police department in Flint, Michigan as they struggle with dwindling resources and crumbling infrastructure in a community crippled by violence and a contaminated water crisis.",2018,"Documentary, Crime            ","Wayne Suttles, James Tolbert, Karen Weaver, Debra Carmody",,2748,,8.0
Jackass 3D,94,"    Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule.",2010,"Documentary, Action, Comedy            ","Johnny Knoxville, Steve-O, Bam Margera, Ryan Dunn",Jeff Tremaine,54465,$117.22M,7.0
Aquarela,89,"    Water and ice are shown around the world, in all of their many powerful forms.",2018,Documentary            ,Viktor Kosakovskiy,,671,$0.19M,6.8
Searching for Sugar Man,86,"    Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez.",2012,"Documentary, Biography, Music            ","Rodriguez, Stephen 'Sugar' Segerman, Dennis Coffey, Mike Theodore",Malik Bendjelloul,60156,$3.97M,8.2
Lenny Cooke,88,"    Lenny Cooke was the number-one ranked high school basketball player in America, but his inevitable fall from grace will forever be remembered.",2013,"Documentary, Biography, Drama            ",Star:Lenny Cooke,"Benny Safdie, Josh Safdie",378,,6.7
Quay,8,    This short documentary film reveals the inner workings of the Brothers' studio.,2015,"Documentary, Short            ","Stephen Quay, Timothy Quay",Christopher Nolan,883,,7.0
Bombshell: The Hedy Lamarr Story,88,"    The life and career of the hailed Hollywood movie star and underappreciated genius inventor, Hedy Lamarr.",2017,"Documentary, Biography, History            ","Hedy Lamarr, Mel Brooks, Jennifer Hom, Anthony Loder",Alexandra Dean,2739,$0.82M,7.4
Chef's Table,50,"    Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",2015,Documentary            ,"Dan Barber, Massimo Bottura, Bill Buford, Lara Gilmore",,11446,,8.6
Real Detective,43,    Each episode is a crime solution reenactment of a real murder. The actual detectives offer commentary throughout the show.,2016,"Documentary, Crime, Drama            ","Michael Douglas Cake, Liana Montoro, Tyrone Benskin, Mizinga Mwinga",,2029,,8.1
The Toys That Made Us,46,    The minds behind history's most iconic toy franchises discuss the rise (and sometimes fall) of their billion-dollar creations.,2017,"Documentary, Comedy, History            ","Donald Ian Black, Mark Bellomo, David Vonner, Jordan Bryce",,3963,,8.1
Generation Wealth,105,    A documentary that investigates the pathologies that have created the richest society the world has ever seen.,2018,Documentary            ,"Lauren Greenfield, Portia Antonia Alexis, Kevin Blatt, Limo Bob",Lauren Greenfield,2699,$0.24M,6.5
Tickled,92,"    Journalist David Farrier stumbles upon a mysterious tickling competition online. As he delves deeper he comes up against fierce resistance, but that doesn't stop him getting to the bottom of a story stranger than fiction.",2016,"Documentary, Mystery            ","David Farrier, Dylan Reeve, David Starr, Kevin Clarke","David Farrier, Dylan Reeve",14683,$0.61M,7.6
One Strange Rock,47,    The extraordinary story of Earth and why it is special and uniquely brimming with life among a largely unknown but harsh cosmic arena; astronauts tell the story of Earth through unique perspective.,2018,Documentary            ,"Will Smith, Chris Hadfield, Jerry Linenger, Mae C. Jemison",,4809,,8.9
Finding Jesus: Faith. Fact. Forgery.,60,"    The world's foremost scholars, historians and scientists examine six ancient relics thought to be connected to Jesus of Nazareth.",2015,Documentary            ,"Adam Bond, Mark Goodacre, Mehdi Aissaoui, Taha Mesbah",,275,,5.4
Mommy Dead and Dearest,82,"    In this documentary, the murder of Deedee Blanchard by her daughter Gypsey Rose is explored, as well as the circumstances leading up to the event.",2017,"Documentary, Crime            ","Jim Arnott, David Blanchard, Dee Dee Blanchard, Gypsy Rose Blanchard",Erin Lee Carr,6442,,7.4
Charged: The Eduardo Garcia Story,86,"    Charged with 2400 volts of electricity, Eduardo Garcia lost an arm, ribs, muscle mass and nearly his life, but more important than what he lost is what he found.",2017,"Documentary, Action, Adventure            ","Eduardo Garcia, Jennifer Jane, Manuel Garcia, Eugenio Garcia",Phillip Baribeau,402,$0.01M,7.4
The Men Who Built America,295,"    Miniseries shines a spotlight on the influential builders, dreamers and believers whose feats transformed the United States, a nation decaying from the inside after the Civil War, into the ...                See full summary »",2012,"Documentary, Biography, History            ","Campbell Scott, H.W. Brands, Mark Cuban, Donny Deutsch",,3136,,8.6
Cybergirl of the Year,25,"    Meet the Playboy models who have risen during the decade with interviews, behind-the-scenes footage and glamour videos.",2018,"Documentary, Reality-TV            ","Tahlia Paris, Khloe Terae, Elizabeth Marxs, Gia Ramey-Gay",,26,,7.3
Pick of the Litter,80,"    Pick of the Litter follows a litter of puppies from the moment they're born and begin their quest to become Guide Dogs for the Blind, the ultimate canine career. Cameras follow these pups ...                See full summary »",2018,Documentary            ,Star:Matt Fowler,"Don Hardy, Dana Nachman",866,$0.53M,7.6
Content Cop,20,"    In an effort to bring justice to the YouTube community, former police officer Ian Carter takes on the title of ""Content Cop"". Using his old police uniform and raw wit, Ian sets out to stop the creators that bring nothing but discord to his online city.",2015,"Documentary, Comedy, Crime            ","Ian Carter, Calvin Vail, Bryan Le, Roman Atwood",,10893,,9.2
Jack Whitehall: Travels with My Father,30,"    Follows Jack Whitehall as he embarks on the trip of a lifetime with his father, Michael. The two set off on a journey across South East Asia to partake in a series of adventures, mishaps and escapades with two very different perspectives.",2017,"Documentary, Comedy            ","Jack Whitehall, Michael Whitehall, Hilary Whitehall, Steven Seagal",,3019,,7.7
Fahrenheit 11/9,128,"    Filmmaker Michael Moore examines the current state of American politics, particularly the Donald Trump presidency and gun violence, while highlighting the power of grassroots democratic movements.",2018,Documentary            ,"Jim Acosta, Roger Ailes, Brooke Baldwin, Ashleigh Banfield",Michael Moore,14645,$6.35M,6.9
Duran Duran: There's Something You Should Know,58,"    Charting their trajectory over four decades, the band's story is told through seven of their albums. Each record uncovers a compelling chapter in the band's journey.",2018,"Documentary, Music            ","Duran Duran, Nick Rhodes, John Taylor, Roger Taylor",Zoe Dobson,118,,6.5
John Wick Chapter 2: Wick-vizzed,5,    A candid look at rehearsal footage in support of a focus on pre-viz.,2017,"Documentary, Short            ","Pedro Hollywood, J.J. Perry, Keanu Reeves, Ruby Rose",Josh Oreck,12084,,7.8
Rotten,55,"    Rotten dives deep into the food production underworld to expose the corruption, waste and real dangers behind your everyday eating habits.",2019,Documentary            ,"Latif Nasser, Casey Cox, Stanley Crawford, Leslie Lopatofsky",,2179,,7.1
Citizenfour,114,    A documentarian and a reporter travel to Hong Kong for the first of many meetings with Edward Snowden.,2014,"Documentary, Biography, News            ","Edward Snowden, Glenn Greenwald, William Binney, Jacob Appelbaum",Laura Poitras,49513,$2.80M,8.1
Super Size Me 2: Holy Chicken!,93,    Morgan Spurlock reignites his battle with the food industry - this time from behind the register - as he opens his own fast food restaurant.,2017,Documentary            ,"Morgan Spurlock, Jonathan Buttram",Morgan Spurlock,585,,6.9
Minding the Gap,93,"    Three young men bond together to escape volatile families in their Rust-Belt hometown. As they face adult responsibilities, unexpected revelations threaten their decade-long friendship.",2018,Documentary            ,"Keire Johnson, Bing Liu, Zack Mulligan",Bing Liu,6058,$0.01M,8.1
Slutever,22,"    Sex writer Karley Sciortino looks up, down, and inside to find answers that challenge outdated notions of female sexuality, gender, and love.",2019,"Documentary, Comedy            ","Karley Sciortino, Buck Angel, Ash Armand, Ona Artist",,360,,5.5
Wormwood,241,"    In 1953, Army scientist Frank Olson takes a fatal plunge from a hotel window. In 1975, a bombshell report ties his death to a top-secret experiment.",2017,"Documentary, Biography            ","Peter Sarsgaard, Molly Parker, Christian Camargo, Scott Shepherd",,3154,,7.0
What the Health,97,"    An intrepid filmmaker on a journey of discovery as he uncovers possibly the largest health secret of our time and the collusion between industry, government, pharmaceutical and health organizations keeping this information from us.",2017,Documentary            ,"Kip Andersen, Larry Baldwin, Neal Barnard, Tia Blanco","Kip Andersen, Keegan Kuhn",24575,,7.5
Dirty Money,60,"    A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.",2018,Documentary            ,"Walter Archer, Victor Avila, Alberto Ayala, Elise J. Bean",,5459,,8.1
The Imposter,99,    A documentary centered on a young man in Spain who claims to a grieving Texas family that he is their 16-year-old son who has been missing for 3 years.,2012,"Documentary, Biography, Crime            ","Adam O'Brian, Nicholas Barclay, Carey Gibson, Bryan Gibson",Bart Layton,42995,$0.89M,7.5
The Confession Tapes,46,    A critical look into some true crime cases where American law enforcement made up for lack of actual physical evidence by using devious psychological tactics during interrogation in order to extract confessions from naive suspects.,2017,"Documentary, Crime            ","David Burns, Loretta Fisher, Brian Hutchinson, Sarah Isaacs",,4015,,7.5
X-Rated: The Greatest Adult Movies of All Time,95,    A look at a plethora of pornographic films ranging from the 1970s to the 2010s and a commentary about their lasting impacts on the adult industry and the world.,2015,Documentary            ,"Chanel Preston, Nina Hartley, Raylin Joy, Herschel Savage",Bryn Pryor,514,,5.7
Maiden,97,"    The story of Tracy Edwards, a 24-year-old cook on charter boats, who became the skipper of the first ever all-female crew to enter the Whitbread Round the World Race in 1989.",2018,"Documentary, Sport            ","Frank Bough, John Chittenden, Bruno Du Bois, Pat Edwards",Alex Holmes,958,$3.01M,7.6
Tea With the Dames,84,"    Dames Judi Dench, Eileen Atkins, Joan Plowright, and Maggie Smith get together for tea to reminisce and discuss their acting careers.",2018,Documentary            ,"Eileen Atkins, Judi Dench, Joan Plowright, Maggie Smith",Roger Michell,1557,$0.87M,7.3
Highway Thru Hell,46,    See how a local heavy recovery firm works through the hard winters helping highway users that have fallen victim to the brutal road conditions. Their essential service keeps the traffic on the highways thru hell moving.,2012,Documentary            ,"Jamie Davis, Dave Pettitt, Al Quiring, Adam Gazzola",,975,,8.1
De Palma,110,    A documentary about writer and director Brian De Palma.,2015,"Documentary, Biography            ",Star:Brian De Palma,"Noah Baumbach, Jake Paltrow",4347,$0.16M,7.4
Blackfish,83,"    A documentary following the controversial captivity of killer whales, and its dangers for both humans and whales.",2013,"Documentary, News            ","Tilikum, Dave Duffus, Samantha Berg, Dean Gomersall",Gabriela Cowperthwaite,58193,$2.07M,8.1
Ask a Porn Star,0,"    Various porn stars answer everyday, and some not everyday, questions about life, music, their career, and more.",2015,"Documentary, Talk-Show            ","Veruca James, Amarna Miller, April O'Neil, Anikka Albrite",,88,,6.2
Anthony Bourdain: Parts Unknown,42,"    Anthony Bourdain visits countries, delving into their political issues as well as indigenous food and culture.",2018,"Documentary, Adventure            ","Anthony Bourdain, Tom Vitale, David Scott Holloway, Eric Ripert",,4168,,8.8
Joseph Pulitzer: Voice of the People,84,"    Joseph Pulitzer spoke of ""fake news"" over 100 years ago and fought the dangers that the suppression of news had for a democracy long before our present threats to press freedom. His heroic ...                See full summary »",2018,Documentary            ,"Daniel Albert, Lauren Ambrose, Nicholson Baker, Rachel Brosnahan",Oren Rudavsky,23,$0.02M,6.6
Abandoned,60,    Skateboarder Rick McCrank explores abandoned places with the people who love them long after the lights have gone out.,2016,Documentary            ,"Rick McCrank, Bryan Beard, Leon Parsons, Raymond Wrightsman",,443,,8.5
Voyeur,95,"    Journalism icon Gay Talese reports on Gerald Foos, the owner of a Colorado motel, who allegedly secretly watched his guests with the aid of specially designed ceiling vents, peering down from an ""observation platform"" he built in the motel's attic.",2017,Documentary            ,"Gay Talese, Gerald Foos, Morgan Entrekin, Anita Foos","Myles Kane, Josh Koury",3766,,6.2
Unacknowledged,100,"    ""Unacknowledged"" focuses on the historic files of the Disclosure Project and how UFO secrecy has been ruthlessly enforced-and why. The best evidence for extraterrestrial contact, dating ...                See full summary »",2017,Documentary            ,"Steven M. Greer, George Filer, Tom Bearden, John Callahan",Michael Mazzola,5561,,7.1
Jane,90,"    The life and work of the renowned primatology scientist, Jane Goodall, especially on her research about chimpanzees.",2017,"Documentary, Biography            ","Jane Goodall, Hugo Van Lawick, Hugo Eric Louis van Lawick",Brett Morgen,3491,$1.72M,7.8
Addicted to Sexting,80,"    ""ADDICTED TO SEXTING"", a compelling (and sometimes humorous) look at the rise and proliferation of this social phenomenon from several varying perspectives and how the lives of those ...                See full summary »",2015,Documentary            ,"Lisa Ann, Paul D'Angelo, Nina Hartley, Amie Harwick",Joseph Tosconi,736,,3.8
Alone,44,"    Ten survival ""experts"" attempt to survive alone. The winner receives $500,000.",2015,"Documentary, Reality-TV            ","Nicole Apelian, Dan, David, Desmond",,2137,,8.4
Minimalism: A Documentary About the Important Things,78,    How might your life be better with less?,2015,Documentary            ,"Dan Harris, Ryan Nicodemus, Rick Hanson, Jesse Jacobs",Matt D'Avella,10674,,6.7
O.J.: Made in America,467,"    A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.",2016,"Documentary, Biography, Crime            ","Kareem Abdul-Jabbar, Mike Albanese, Muhammad Ali, Marcus Allen",Ezra Edelman,15685,,8.9
The Beatles: Eight Days a Week - The Touring Years,106,"    A compilation of found footage featuring music, interviews, and stories of The Beatles' 250 concerts from 1963 to 1966.",2016,"Documentary, Music            ","The Beatles, John Lennon, George Harrison, Paul McCartney",Ron Howard,10203,$2.93M,7.8
Meru,90,"    Three elite climbers struggle to find their way through obsession and loss as they attempt to climb Mount Meru, one of the most coveted prizes in the high stakes game of Himalayan big wall climbing.",2015,"Documentary, Sport            ","Conrad Anker, Grace Chin, Jimmy Chin, Amee Hinkley","Jimmy Chin, Elizabeth Chai Vasarhelyi",13343,$2.33M,7.7
Evil Lives Here,43,    A TV series where individuals share their perspectives of loved ones who performed horrific acts of crime,2016,"Documentary, Biography, Crime            ","T.J. Craig, Brian Vadim, David Wenzel, Hillary Hamilton",,514,,8.0
Jodorowsky's Dune,90,    The story of cult film director Alejandro Jodorowsky's ambitious but ultimately doomed film adaptation of the seminal science fiction novel.,2013,Documentary            ,"Alejandro Jodorowsky, Michel Seydoux, H.R. Giger, Chris Foss",Frank Pavich,19676,$0.65M,8.1
Frozen Planet,60,    Focuses on life and the environment in both the Arctic and Antarctic.,2012,Documentary            ,"David Attenborough, Alec Baldwin, Chadden Hunter, Ted Giffords",,24098,,9.0
Hitler's Circle of Evil,52,    This is the story of the rise and fall of the Third Reich told like the drama it really was: through the personal relationships of the movers and shakers of the Nazi Party.,2018,"Documentary, Biography, History            ","Jonathon Michaels, Alisdair Simpson, Conan Sweeny, Steve Munroe",,1975,,8.0
Jim & Andy: The Great Beyond,94,    A behind-the-scenes look at how Jim Carrey adopted the persona of idiosyncratic comedian Andy Kaufman on the set of Man on the Moon (1999).,2017,Documentary            ,"Jim Carrey, Danny DeVito, Milos Forman, Peter Bonerz",Chris Smith,20434,,7.7
13th,100,    An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,2016,"Documentary, Crime, News            ","Melina Abdullah, Michelle Alexander, Cory Booker, Dolores Canales",Ava DuVernay,20953,,8.2
The Defiant Ones,60,"    ""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.",2017,"Documentary, Biography, Crime            ","Dr. Dre, Jimmy Iovine, Trent Reznor, Verna Griffin",,9730,,8.6
I Am a Killer,52,"    Follows Death Row inmates, who tell the story of how they ended up there.",2018,"Documentary, Crime            ","Reece Putinas, Deandra Buchanan, Asher Carter, Justin Dickens",,1832,,7.5
Wrestling Isn't Wrestling,25,"    A case study of longtime WWE superstar, Triple H, to explain why wrestling is an epic example of storytelling at its best.",2015,"Documentary, Short, Comedy            ","Adam Savage, Jamie Hyneman, Max Landis, Chloe Dykstra",Max Landis,930,,8.5
The Farthest,121,    It is one of humankind's greatest achievements. More than 12 billion miles away a tiny spaceship is leaving our Solar System and entering the void of deep space - the first human-made object ever to do so.,2017,"Documentary, History            ","Frank Drake, Carolyn Porco, John Casani, Lawrence Krauss",Emer Reynolds,3310,$0.01M,8.1
Abstract: The Art of Design,45,"    A look beyond blueprints and computers into the art and science of design, showcasing great designers from every discipline whose work shapes our world.",2017,Documentary            ,"Platon, Cas Holman, Ian Spalter, Elisabeth Biondi",,3924,,8.4
That Sugar Film,90,    Damon Gameau embarks on an experiment to document the effects of a high sugar diet on a healthy body.,2014,Documentary            ,"Damon Gameau, Hugh Jackman, Milla Bakaitis, Richard Davies",Damon Gameau,8479,,7.4
Heal,106,"    A documentary film that takes us on a scientific and spiritual journey where we discover that by changing one's perceptions, the human body can heal itself from any dis-ease.",2017,Documentary            ,"Deepak Chopra, Joseph Dispenza, Peter Crone, Marianne Williamson",Kelly Noonan,1383,$0.08M,6.8
Amanda Knox,92,    American exchange student Amanda Knox is convicted and eventually acquitted for the 2007 death of another student in Italy.,2016,"Documentary, Crime            ","Amanda Knox, Meredith Kercher, Raffaele Sollecito, Giuliano Mignini","Rod Blackhurst, Brian McGinn",18339,,6.9
Dominion,120,"    Dominion uses drones, hidden and handheld cameras to expose the dark underbelly of modern animal agriculture, questioning the morality and validity of humankind's dominion over the animal kingdom.",2018,Documentary            ,"Joaquin Phoenix, Rooney Mara, Sia, Sadie Sink",Chris Delforce,1636,,9.1
Forks Over Knives,90,"    Examines the profound claim that most, if not all, of the degenerative diseases that afflict us can be controlled, or even reversed, by rejecting our present menu of animal-based and processed foods.",2011,Documentary            ,"Lee Fulkerson, Matthew Lederman, Alona Pulde, T. Colin Campbell",Lee Fulkerson,10801,,7.8
American Playboy: The Hugh Hefner Story,42,"    The Amazon Original Series draws from unprecedented access to more than 17,000 hours of footage and over 2,600 scrapbooks from Hefner's personal archives, chronicling the life of an American icon and the history of the brand he created.",2017,"Documentary, Biography, Drama            ","Matt Whelan, Emmett Skilton, Adam Jonas Segaller, Chelsie Preston Crayford",,1424,,7.5
