title,runtime,des,date,rating,genre
The Bounty Hunter,110,"    A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.",2010,5.6,"Action, Comedy, Romance            "
Commando,90,"    A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate.",1985,6.7,"Action, Adventure, Thriller            "
Walking Tall,86,"    A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",2004,6.3,"Action, Crime            "
George of the Jungle,92,    A man raised in the jungle by apes falls in love with a wealthy American heiress.,1997,5.4,"Action, Adventure, Comedy            "
Pandorum,108,"    Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone.",2009,6.7,"Action, Horror, Mystery            "
Only God Forgives,90,"    Julian, a drug-smuggler thriving in Bangkok's criminal underworld, sees his life get even more complicated when his mother compels him to find and kill whoever is responsible for his brother's recent death.",2013,5.7,"Action, Crime, Drama            "
Die Hard with a Vengeance,128,"    John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.",1995,7.6,"Action, Adventure, Thriller            "
Extinction,95,"    A father has a recurring dream of losing his family. His nightmare turns into reality when the planet is invaded by a force bent on destruction. Fighting for their lives, he comes to realize an unknown strength to keep them safe from harm.",2018,5.8,"Action, Drama, Sci-Fi            "
Assassin's Creed,115,"    Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",2016,5.7,"Action, Adventure, Sci-Fi            "
Con Air,115,    Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,1997,6.9,"Action, Crime, Thriller            "
Sherlock Holmes 3,115,    The plot is unknown at this time.,2021,0,"Action, Crime, Mystery            "
The Running Man,101,    A wrongly convicted man must try to survive a public execution gauntlet staged as a game show.,1987,6.7,"Action, Sci-Fi, Thriller            "
Patriot Games,117,"    When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge.",1992,6.9,"Action, Thriller            "
The Expendables 3,126,"    Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",2014,6.1,"Action, Adventure, Thriller            "
Salt,100,    A CIA agent goes on the run after a defector accuses her of being a Russian spy.,2010,6.4,"Action, Mystery, Thriller            "
Taken,41,"    As former CIA agent Bryan Mills deals with a personal tragedy that shakes his world, he fights to overcome the incident and exact revenge.",2018,6.6,"Action, Drama, Thriller            "
Dirty Harry,102,"    When a madman calling himself ""the Scorpio Killer"" menaces the city, tough as nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",1971,7.7,"Action, Crime, Thriller            "
Need for Speed,132,"    Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.",2014,6.5,"Action, Crime, Thriller            "
Jett,132,"    World-class thief Daisy ""Jett"" Kowalski is just out of prison and already being forced back into what got her there, by a group of eccentric and dangerous criminals.",2019,7.4,"Action, Crime, Drama            "
Romancing the Stone,106,"    A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.",1984,6.9,"Action, Adventure, Comedy            "
Transformers: Dark of the Moon,154,"    The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",2011,6.2,"Action, Adventure, Sci-Fi            "
Knowing,121,    M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.,2009,6.2,"Action, Drama, Mystery            "
Godzilla,139,"    A giant, reptilian monster surfaces, leaving destruction in its wake as it strides into New York City. To stop it, an earthworm scientist, his reporter ex-girlfriend, and other unlikely heroes team up to save their city.",1998,5.4,"Action, Sci-Fi, Thriller            "
Riddick,119,"    Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.",2013,6.4,"Action, Adventure, Sci-Fi            "
Guns Akimbo,95,    A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.,2019,6.2,"Action, Comedy            "
Out of the Furnace,116,"    When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.",2013,6.8,"Action, Crime, Drama            "
Cowboy Bebop,24,    The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,1999,8.9,"Animation, Action, Adventure            "
Underworld: Blood Wars,91,"    Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",2016,5.8,"Action, Adventure, Fantasy            "
Covert Affairs,60,"    Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent.",2014,7.3,"Action, Crime, Drama            "
PAW Patrol,23,"    Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are occasionally joined by newer helpers: Cap'n Turbot, Robo-Dog, Everest, and Tracker.",2013,6.4,"Animation, Action, Adventure            "
Universal Soldier,102,"    Private Luc Deveraux and his sadistic sergeant, Andrew Scott, got killed in Viet Nam. The army uses their bodies for a secret project - reanimating dead soldiers as deadly obedient cyborgs. However, their memories come back too.",1992,6.0,"Action, Sci-Fi            "
Small Soldiers,110,"    When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously.",1998,6.2,"Action, Adventure, Comedy            "
The Quick and the Dead,107,"    A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.",1995,6.4,"Action, Romance, Thriller            "
Self/less,117,"    A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem.",2015,6.5,"Action, Mystery, Sci-Fi            "
Pride and Prejudice and Zombies,108,    Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,2016,5.8,"Action, Comedy, Fantasy            "
Adrift,96,"    A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",2018,6.6,"Action, Adventure, Biography            "
47 Ronin,128,    A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,2013,6.2,"Action, Drama, Fantasy            "
Thunderball,130,    James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,1965,7.0,"Action, Adventure, Thriller            "
