title,runtime,des,date,genre,cast,director,vote,gross,rating
Incredibles 2,118,"    The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",2018,"Animation, Action, Adventure            ","Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",Brad Bird,221513,$608.58M,7.7
Big Hero 6,102,"    The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",2014,"Animation, Action, Adventure            ","Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller","Directors:Don Hall, Chris Williams",384291,$222.53M,7.8
Hunter x Hunter,24,"    Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.",2014,"Animation, Action, Adventure            ","Megumi Han, Issei Futamata, Mariya Ise, Cristina Valenzuela",,40071,,8.9
Brave,93,"    Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",2012,"Animation, Adventure, Comedy            ","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters","Directors:Mark Andrews, Brenda Chapman, Steve Purcell",349531,$237.28M,7.1
Disenchantment,30,"    Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.",2018,"Animation, Action, Adventure            ","Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio",,35859,,7.2
The Legend of Korra,23,    Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,2014,"Animation, Action, Adventure            ","Janet Varney, P.J. Byrne, David Faustino, J.K. Simmons",,89124,,8.5
DuckTales,21,"    The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck, his grandnephews - Huey, Dewey, and Louie - and temperamental nephew Donald Duck, Launchpad McQuack, Mrs. Beakley, and her granddaughter Webby.",2017,"Animation, Action, Adventure            ","David Tennant, Ben Schwartz, Danny Pudi, Bobby Moynihan",,4583,,8.2
Castlevania,23,    A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,2017,"Animation, Action, Adventure            ","Richard Armitage, James Callis, Graham McTavish, Alejandra Reynoso",,26595,,8.1
Sausage Party,89,    A sausage strives to discover the truth about his existence.,2016,"Animation, Adventure, Comedy            ","Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell","Directors:Greg Tiernan, Conrad Vernon",164484,$97.69M,6.2
Miraculous: Tales of Ladybug & Cat Noir,20,"    Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",2015,"Animation, Action, Adventure            ","Cristina Valenzuela, Bryce Papenbrook, Mela Lee, Keith Silverstein",,4088,,7.8
