title,runtime,des,date,genre,cast,director,vote,gross,rating
Narcos,49,"    A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",2017,"Biography, Crime, Drama            ","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",,312725,,8.8
Power,50,"    James ""Ghost"" St. Patrick, a wealthy New York night club owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin.",2014,"Crime, Drama            ","Omari Hardwick, Lela Loren, Naturi Naughton, Joseph Sikora",,34430,,8.2
Chicago P.D.,43,"    Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit.",2014,"Action, Crime, Drama            ","Jason Beghe, Jesse Lee Soffer, Patrick John Flueger, Marina Squerciati",,23923,,8.1
Big Little Lies,60,"    The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.",2017,"Crime, Drama, Mystery            ","Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz",,128463,,8.5
Good Time,101,"    After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",2017,"Crime, Drama, Thriller            ","Robert Pattinson, Benny Safdie, Jennifer Jason Leigh, Buddy Duress","Directors:Benny Safdie, Josh Safdie",59600,$2.03M,7.3
Magnum P.I.,43,    An ex-Navy SEAL returns home from Afghanistan and uses his military skills to become a private investigator in Hawaii.,2018,"Action, Adventure, Crime            ","Jay Hernandez, Perdita Weeks, Zachary Knighton, Stephen Hill",,6761,,5.6
NCIS: New Orleans,42,"    A spin-off of NCIS (2003) about the local field office of NCIS that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment and decadence. This colorful city that harbors a dark side is a magnet for service personnel on leave, and when overindulgence is followed by trouble, Special Agent Dwayne Pride's team is at its best.",2014,"Crime, Drama, Mystery            ","Scott Bakula, Rob Kerkovich, CCH Pounder, Lucas Black",,13400,,6.8
BlacKkKlansman,135,"    Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",2018,"Biography, Crime, Drama            ","John David Washington, Adam Driver, Laura Harrier, Topher Grace",Spike Lee,172095,$48.69M,7.5
The Americans,44,"    At the height of the Cold War two Russian agents pose as your average American couple, complete with family.",2018,"Crime, Drama, Mystery            ","Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor",,75830,,8.4
Bosch,51,    An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,2014,"Crime, Drama            ","Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick",,36319,,8.4
