title,runtime,des,date,rating,genre
Willow,126,    A reluctant dwarf must play a critical role in protecting a special baby from an evil queen.,1988,7.3,"Action, Adventure, Drama            "
Titanic,194,"    A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",1997,7.8,"Drama, Romance            "
Gargoyles,30,    A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.,1996,8.1,"Animation, Action, Adventure            "
Call Me by Your Name,132,"    In 1980s Italy, a romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",2017,7.9,"Drama, Romance            "
Downton Abbey,122,"    The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.",2019,7.7,"Drama, Romance            "
That '70s Show,22,"    A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.",2006,8.1,"Comedy, Romance            "
After We Collided,22,"    Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",0,0,"Drama, Romance            "
Spartacus,55,"    The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",2013,8.5,"Action, Adventure, Biography            "
ER,44,"    The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital.",2009,7.7,"Drama, Romance            "
Smallville,60,"    A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",2011,7.4,"Adventure, Drama, Romance            "
Grease,110,"    Good girl Sandy and greaser Danny fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",1978,7.2,"Musical, Romance            "
Aladdin,90,    A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,1992,8.0,"Animation, Adventure, Comedy            "
Gossip Girl,42,    Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,2012,7.4,"Drama, Romance            "
The Sound of Music,172,    A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,1965,8.0,"Biography, Drama, Family            "
Mom,30,    A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.,2013,7.2,"Comedy, Drama, Romance            "
Her,126,"    In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",2013,8.0,"Drama, Romance, Sci-Fi            "
Buffy the Vampire Slayer,44,"    A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.",2003,8.2,"Action, Drama, Fantasy            "
The Little Mermaid,83,    A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,1989,7.6,"Animation, Family, Fantasy            "
A Star Is Born,136,    A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,2018,7.7,"Drama, Music, Romance            "
One Tree Hill,60,"    Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",2012,7.6,"Drama, Romance, Sport            "
Forrest Gump,142,"    The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",1994,8.8,"Drama, Romance            "
Christmas Under the Stars,142,    A Christmas tree lot helps two people rediscover their holiday spirit.,2019,6.9,Romance            
Will & Grace,22,"    Gay lawyer Will and straight interior designer Grace share a New York City apartment. Their best friends are gleeful and proud gay Jack and charismatic, filthy-rich, amoral socialite Karen.",1998,7.2,"Comedy, Romance            "
Christmas in Louisiana,22,"    When a woman returns home to celebrate the anniversary of the town's Sugarcane Christmas Festival, she rediscovers the magic of the season.",2019,5.9,Romance            
Tangled,100,"    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",2010,7.7,"Animation, Adventure, Comedy            "
A Rainy Day in New York,92,    A young couple arrive in New York for a weekend where they are met with bad weather and a series of adventures and misadventures.,2019,6.9,"Comedy, Romance            "
Doc Martin,46,"    The trials and tribulations of Dr. Martin Ellingham, a socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.",2004,8.3,"Comedy, Drama, Romance            "
Lady and the Tramp,76,    The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,1955,7.3,"Animation, Adventure, Comedy            "
Beauty and the Beast,129,"    A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",2017,7.2,"Family, Fantasy, Musical            "
Love,135,"    Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",2015,6.1,"Drama, Romance            "
True Blood,55,"    Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill, a southern Louisiana gentleman and vampire.",2014,7.9,"Drama, Fantasy, Mystery            "
Crazy Rich Asians,120,"    This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",2018,6.9,"Comedy, Drama, Romance            "
Twilight,122,"    Bella Swan moves to Forks and encounters Edward Cullen, a gorgeous boy with a secret.",2008,5.2,"Drama, Fantasy, Romance            "
10 Things I Hate About You,97,"    A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",1999,7.3,"Comedy, Drama, Romance            "
The Princess Bride,98,"    While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",1987,8.1,"Adventure, Family, Fantasy            "
Long Shot,125,"    Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",2019,6.9,"Comedy, Romance            "
Fifty Shades of Grey,125,"    Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",2015,4.1,"Drama, Romance, Thriller            "
Don Jon,90,"    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",2013,6.5,"Comedy, Drama, Romance            "
Little,109,    A woman is transformed into her younger self at a point in her life when the pressures of adulthood become too much to bear.,2019,5.4,"Comedy, Fantasy, Romance            "
The Tudors,60,    A dramatic series about the reign and marriages of King Henry VIII.,2010,8.1,"Drama, History, Romance            "
Maleficent,97,"    A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",2014,7.0,"Action, Adventure, Family            "
Younger,22,"    After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old.",2015,7.8,"Comedy, Romance            "
Looking for Alaska,50,    A new arrival at a boarding school falls in love with a beguiling female student.,2019,8.2,"Drama, Romance            "
A Hidden Life,173,"    The Austrian Blessed Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.",2019,7.7,"Biography, Drama, Romance            "
"Crazy, Stupid, Love.",118,"    A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",2011,7.4,"Comedy, Drama, Romance            "
Me Before You,106,    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,2016,7.4,"Drama, Romance            "
Mad About You,22,    Paul and Jamie Buchman are a recently-married New York City couple. They point out the gentle humor in domesticity and life's everyday situations.,1999,6.6,"Comedy, Romance            "
Teen Wolf,41,    An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,2017,7.6,"Action, Drama, Fantasy            "
Baywatch,60,"    At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis.",2001,5.2,"Action, Adventure, Crime            "
High School Musical,98,    A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.,2006,5.3,"Comedy, Drama, Family            "
Pretty Little Liars,44,"    Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",2017,7.4,"Drama, Mystery, Romance            "
A Discovery of Witches,60,"    Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.",2018,8.1,"Drama, Fantasy, Romance            "
Elf,97,"    After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father.",2003,6.9,"Comedy, Family, Fantasy            "
Santa Girl,90,    Santa's daughter gets a chance to attend college for one semester in the 'real' world before heading back to the North Pole to fulfill her duties under her father.,2019,5.1,"Comedy, Romance            "
Judy,118,    Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts.,2019,7.2,"Biography, Drama, History            "
Good Will Hunting,126,"    Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997,8.3,"Drama, Romance            "
A Goofy Movie,78,"    When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",1995,6.8,"Animation, Adventure, Comedy            "
"Beverly Hills, 90210",44,"    A group of friends living in Beverly Hills, California make their way through life from their school days into adulthood.",2000,6.3,"Drama, Romance            "
Castle,43,"    After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",2016,8.1,"Comedy, Crime, Drama            "
The Great Gatsby,143,"    A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",2013,7.3,"Drama, Romance            "
Les Misérables,158,"    In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",2012,7.6,"Drama, History, Musical            "
Sex and the City,30,    Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the 1990s.,2004,7.1,"Comedy, Drama, Romance            "
Shadowhunters,42,"    After her mother disappears, Clary must venture into the dark world of demon hunting, and embrace her new role among the Shadowhunters.",2019,6.6,"Action, Drama, Fantasy            "
Hercules,93,    The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,1997,7.3,"Animation, Adventure, Comedy            "
The Aeronauts,100,    Pilot Amelia Wren (Felicity Jones) and scientist James Glaisher (Eddie Redmayne) find themselves in an epic fight for survival while attempting to make discoveries in a gas balloon.,2019,6.7,"Action, Adventure, Biography            "
Masters of Sex,60,    Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution.,2016,7.9,"Drama, Romance            "
The Shape of Water,123,"    At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",2017,7.3,"Adventure, Drama, Fantasy            "
Enchanted,107,"    A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil queen, where she falls in love with a lawyer.",2007,7.0,"Animation, Comedy, Family            "
La La Land,128,"    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",2016,8.0,"Comedy, Drama, Music            "
Days of Our Lives,60,"    A chronicle of the lives, loves, trials and tribulations of the citizens of the fictional city of Salem.",1965,5.0,"Drama, Romance            "
Beauty and the Beast,84,    A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,1991,8.0,"Animation, Family, Fantasy            "
Murder Mystery,97,"    A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",2019,6.0,"Action, Comedy, Crime            "
Kim Possible,30,    A high school cheerleader and her accident-prone best friend balance their duties as global crime-fighters with the typical challenges of adolescence.,2007,7.2,"Animation, Action, Adventure            "
Pitch Perfect,112,"    Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",2012,7.2,"Comedy, Music, Romance            "
Five Feet Apart,116,"    A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.",2019,7.2,"Drama, Romance            "
Secretary,107,"    A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",2002,7.0,"Comedy, Drama, Romance            "
The Ballad of Buster Scruggs,133,"    Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",2018,7.3,"Comedy, Drama, Musical            "
Lolita,153,    A middle-aged college professor becomes infatuated with a fourteen-year-old nymphet.,1962,7.6,"Crime, Drama, Romance            "
The O.C.,44,"    A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.",2007,7.5,"Comedy, Drama, Romance            "
Scott Pilgrim vs. the World,112,    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,2010,7.5,"Action, Comedy, Fantasy            "
Clueless,97,"    A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",1995,6.8,"Comedy, Romance            "
The Parent Trap,128,"    Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.",1998,6.5,"Adventure, Comedy, Drama            "
Little House on the Prairie,60,    The life and adventures of the Ingalls family in the nineteenth century American Midwest.,1983,7.4,"Drama, Family, Romance            "
Desperate Housewives,45,"    Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor.",2012,7.4,"Comedy, Drama, Mystery            "
White Christmas,120,    A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,1954,7.6,"Comedy, Musical, Romance            "
The Twilight Saga: Breaking Dawn - Part 2,115,"    After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",2012,5.5,"Adventure, Drama, Fantasy            "
Pride & Prejudice,129,"    Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",2005,7.8,"Drama, Romance            "
The Last Picture Show,118,"    In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically.",1971,8.0,"Drama, Romance            "
