,pred
0,6.701785429673026
1,6.832545766059037
2,7.84104286760351
3,5.430069326491905
4,6.750763735988927
5,7.178516354703623
6,6.736632106946892
7,5.956292265670276
8,7.857262680514636
9,6.347125904010352
10,6.631396056971443
11,5.935265784796355
12,7.096191429576877
13,7.99022081572994
14,6.754509171846714
15,6.249062819769963
16,7.029041180452749
17,7.226898698563787
18,7.2057248162420855
19,7.346239382662946
20,6.81742988196413
21,6.700240990896853
22,7.071176250164033
23,6.771255266829459
24,6.812100806459385
25,7.220652234640007
26,7.253723345929425
27,7.408925624701944
28,6.499937221344446
29,6.085657357393253
30,6.777388007563087
31,7.5115171248196475
32,7.403832470978135
33,7.423710759773164
34,6.853077926404231
35,7.071600508749397
36,7.27566381601352
37,6.96917615261784
38,7.115606363392032
39,7.64463567550449
40,6.74228650596047
41,7.177256009847863
42,6.8666333729626805
43,7.1850675315246155
44,7.473708905559796
45,7.999753728178238
46,5.2491013517230805
47,6.925163125756256
48,6.891805061074344
49,7.392093061672884
50,7.987781933146003
51,6.913750167981662
52,6.689421456268995
53,6.811750526893686
54,7.33529028842254
55,6.818610994204006
56,7.413775274236028
57,7.499476602584465
58,7.416172698288935
59,7.501722915392066
60,7.677296045315915
61,7.005235554574194
62,7.11856630297278
63,6.47766436942805
64,6.2516116174905685
65,6.99929504971599
66,5.562830690290374
67,6.724305924940253
68,7.179798828218132
69,6.8018398653991285
70,6.976174516282949
71,6.616645328560119
72,7.015371088420241
73,6.609570817624461
74,6.93758983476766
75,6.826380335053958
76,7.251508581249322
77,7.096039492087283
78,7.407229680637332
79,7.090467150083291
80,7.1080107388157785
81,6.8076055172336325
82,6.809300424003799
83,6.929660901326635
84,6.869067340860821
85,6.800924480783745
86,4.501935478334407
87,6.812467895358509
88,7.434029178282429
89,7.684565317200662
90,7.2575683867880825
91,7.131359578882929
92,6.527612760886706
93,6.818418747875669
94,7.208578878944411
95,6.028399927868151
96,6.912158604055606
97,6.772594648779448
